.pl 16959
CisloVydejky;DatumVydeje;CisloDodavatele;NazevDodavatele;Celkem0;Celkem5;Celkem23;Upozorneni
--DATA--
00070$;737801$;00001$;Zenit s.r.o. Èáslav$;0.00$;0.00$;131960.30$; 
00071$;737801$;00001$;Zenit s.r.o. Èáslav$;0.00$;0.00$;137426.42$; 
00072$;737801$;00140$;Melitrade a.s.$;0.00$;0.00$;55489.02$; 
00073$;737801$;00975$;Velkoobchod FAVE s.r.o.$;0.00$;0.00$;7843.28$; 
00074$;737801$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;14354.62$; 
00075$;737801$;00527$;SCA Hygiene products s.r.o.$;0.00$;0.00$;23751.52$; 
00076$;737801$;00046$;Metsa Tissue a.s.$;0.00$;0.00$;39635.96$; 
00077$;737801$;00734$;FIDE s.r.o.$;0.00$;0.00$;6155.84$; 
00078$;737801$;00041$;Dubrava Valašské Klobouky$;0.00$;0.00$;6148.50$; 
00079$;737801$;01056$;UNIRON s.r.o.$;0.00$;0.00$;10241.88$; 
00080$;737801$;01092$;CEREPA a.s.$;0.00$;0.00$;99223.60$; 
00081$;737801$;00981$;Miroslav Kuèera - Kuku papír$;0.00$;0.00$;144356.24$; 
00082$;737801$;00981$;Miroslav Kuèera - Kuku papír$;0.00$;0.00$;4880.00$; 
00083$;737801$;00087$;Eastmop spol.s r.o.$;0.00$;0.00$;4125.00$; 
00084$;737802$;00928$;BRASSICA-PAP, spol. s r.o.$;0.00$;0.00$;13132.80$; 
00085$;737802$;01082$;Schulke CZ, s.r.o.$;0.00$;0.00$;32392.00$; 
00086$;737802$;00032$;Procter & Gamble Rakovnik$;0.00$;0.00$;17122.40$; 
00087$;737802$;00984$;BARVY A LAKY HOSTIVAØ a.s.$;0.00$;0.00$;2088.00$; 
00088$;737802$;00638$;Cormen Bystøice$;0.00$;0.00$;59931.90$; 
00089$;737802$;00029$;Severochema v.d. Liberec$;0.00$;0.00$;30254.55$; 
