.pl 16959
CisloVydejky;DatumVydeje;CisloOdberatele;NazevOdberatele;CisloKarty;NazevZbozi;MernaJednotka;Rabat;ProdCena;SazbaD;VKart;Vydano;Zisk
--DATA--
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;2259$;Høeben PLOCHÝ pánský$;ks$;-2.00$;4.15$;21$;20$;5$;6.65
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;4148$;Real gel chlorax 650g$;ks$;-2.00$;35.99$;21$;16$;2$;32.00
00022$;737794$;03909$;Krajská nemocnice Liberec   2172$;5111$;Finish tablety 48ks  All in 1  Max$;ks$;-2.00$;189.15$;21$;5$;2$;182.66
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;0180$;Motouz POP  250g  1200 m/kg$;ks$;-2.00$;35.88$;21$;8$;2$;15.76
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;0351$;Nádobí Jar 450ml Citrón$;ks$;-2.00$;23.84$;21$;21$;5$;30.35
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;0573$;Sáèky do koše 30l 49x60 /50ks bílé/trans$;rol$;-2.00$;11.66$;21$;40$;5$;10.80
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;1054$;Osvìžovaè spray Wind 300ml Jap.zahrada$;ks$;-2.00$;21.11$;21$;24$;3$;23.73
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;1056$;Tekuté mýdlo 5l Vakavo Love Herbal bílé$;kan$;-2.00$;75.10$;21$;0$;1$;20.39
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;1416$;Osvìžovaè spray Wind 300ml Citrus$;ks$;-2.00$;21.11$;21$;24$;3$;23.73
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;2613$;Krém na ruce Vakavo 100ml s glycerinem$;ks$;-2.00$;9.26$;21$;25$;3$;8.19
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;4148$;Real gel chlorax 650g$;ks$;-2.00$;35.99$;21$;16$;15$;240.00
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;4788$;WC èistiè HIT 750ml Industrial$;ks$;-2.00$;17.47$;21$;12$;5$;31.25
00023$;737794$;03910$;Krajská nemocnice Liberec   2182$;5757$;Koupelny Krystal 750ml MR$;ks$;-2.00$;37.85$;21$;18$;5$;44.40
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;0180$;Motouz POP  250g  1200 m/kg$;ks$;-2.00$;35.88$;21$;8$;1$;7.88
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;0351$;Nádobí Jar 450ml Citrón$;ks$;-2.00$;23.84$;21$;21$;6$;36.42
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;0532$;Savo  1,2l original obyè$;ks$;-2.00$;30.46$;21$;6$;5$;35.35
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;1054$;Osvìžovaè spray Wind 300ml Jap.zahrada$;ks$;-2.00$;21.11$;21$;24$;2$;15.82
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;1056$;Tekuté mýdlo 5l Vakavo Love Herbal bílé$;kan$;-2.00$;75.10$;21$;0$;1$;20.39
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;1416$;Osvìžovaè spray Wind 300ml Citrus$;ks$;-2.00$;21.11$;21$;24$;2$;15.82
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;1871$;Rukavice igelitové jednoráz.100ks pánské$;bal$;-2.00$;16.89$;21$;100$;1$;8.49
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;2600$;Houbièka nádobí s drážkou po 1ks 10x7cm$;ks$;-2.00$;2.85$;21$;0$;20$;28.20
00024$;737794$;03911$;Krajská nemocnice Liberec   2211$;4148$;Real gel chlorax 650g$;ks$;-2.00$;35.99$;21$;16$;2$;32.00
